"Var","Location","Val","Month","Year"
"Temperature","Edmonton, Alberta",13.2,"Aug",1974
"Temperature","Edmonton, Alberta",9.2,"Sep",1974
"Temperature","Edmonton, Alberta",7.3,"Oct",1974
"Temperature","Edmonton, Alberta",-2.5,"Nov",1974
"Temperature","Edmonton, Alberta",-6.2,"Dec",1974
"Temperature","Edmonton, Alberta",-12.8,"Jan",1975
"Temperature","Edmonton, Alberta",-15.5,"Feb",1975
"Temperature","Edmonton, Alberta",-9.2,"Mar",1975
"Temperature","Edmonton, Alberta",0.2,"Apr",1975
"Temperature","Edmonton, Alberta",10.1,"May",1975
"Temperature","Edmonton, Alberta",13.8,"Jun",1975
"Temperature","Edmonton, Alberta",18.1,"Jul",1975
"Temperature","Edmonton, Alberta",13.1,"Aug",1975
"Temperature","Edmonton, Alberta",11.1,"Sep",1975
"Temperature","Edmonton, Alberta",3.9,"Oct",1975
"Temperature","Edmonton, Alberta",-4.4,"Nov",1975
"Temperature","Edmonton, Alberta",-12.4,"Dec",1975
"Temperature","Edmonton, Alberta",-12.7,"Jan",1976
"Temperature","Edmonton, Alberta",-8.9,"Feb",1976
"Temperature","Edmonton, Alberta",-5.5,"Mar",1976
"Temperature","Edmonton, Alberta",7,"Apr",1976
"Temperature","Edmonton, Alberta",11.6,"May",1976
"Temperature","Edmonton, Alberta",12.8,"Jun",1976
"Temperature","Edmonton, Alberta",16.3,"Jul",1976
"Temperature","Edmonton, Alberta",16.8,"Aug",1976
"Temperature","Edmonton, Alberta",12.5,"Sep",1976
"Temperature","Edmonton, Alberta",4.5,"Oct",1976
"Temperature","Edmonton, Alberta",-1.8,"Nov",1976
"Temperature","Edmonton, Alberta",-10.2,"Dec",1976
"Temperature","Edmonton, Alberta",-12.4,"Jan",1977
"Temperature","Edmonton, Alberta",-2.6,"Feb",1977
"Temperature","Edmonton, Alberta",-2.7,"Mar",1977
"Temperature","Edmonton, Alberta",7.4,"Apr",1977
"Temperature","Edmonton, Alberta",11.3,"May",1977
"Temperature","Edmonton, Alberta",14.9,"Jun",1977
"Temperature","Edmonton, Alberta",14.9,"Jul",1977
"Temperature","Edmonton, Alberta",12.4,"Aug",1977
"Temperature","Edmonton, Alberta",9.8,"Sep",1977
"Temperature","Edmonton, Alberta",5.5,"Oct",1977
"Temperature","Edmonton, Alberta",-6.4,"Nov",1977
"Temperature","Edmonton, Alberta",-17.1,"Dec",1977
"Temperature","Edmonton, Alberta",-18.6,"Jan",1978
"Temperature","Edmonton, Alberta",-13.1,"Feb",1978
"Temperature","Edmonton, Alberta",-3.4,"Mar",1978
"Temperature","Edmonton, Alberta",5.2,"Apr",1978
"Temperature","Edmonton, Alberta",10.4,"May",1978
"Temperature","Edmonton, Alberta",15.9,"Jun",1978
"Temperature","Edmonton, Alberta",17,"Jul",1978
"Temperature","Edmonton, Alberta",14.7,"Aug",1978
"Temperature","Edmonton, Alberta",10.5,"Sep",1978
"Temperature","Edmonton, Alberta",7.2,"Oct",1978
"Temperature","Edmonton, Alberta",-6.7,"Nov",1978
"Temperature","Edmonton, Alberta",-12.4,"Dec",1978
"Temperature","Edmonton, Alberta",-16.8,"Jan",1979
"Temperature","Edmonton, Alberta",-22.5,"Feb",1979
"Temperature","Edmonton, Alberta",-2,"Mar",1979
"Temperature","Edmonton, Alberta",1.1,"Apr",1979
"Temperature","Edmonton, Alberta",8.8,"May",1979
"Temperature","Edmonton, Alberta",14.7,"Jun",1979
"Temperature","Edmonton, Alberta",17.5,"Jul",1979
"Temperature","Edmonton, Alberta",15.6,"Aug",1979
"Temperature","Edmonton, Alberta",12.5,"Sep",1979
"Temperature","Edmonton, Alberta",6.9,"Oct",1979
"Temperature","Edmonton, Alberta",-2.4,"Nov",1979
"Temperature","Edmonton, Alberta",-9.4,"Dec",1979
"Temperature","Edmonton, Alberta",-17.1,"Jan",1980
"Temperature","Edmonton, Alberta",-10.2,"Feb",1980
"Temperature","Edmonton, Alberta",-6.9,"Mar",1980
"Temperature","Edmonton, Alberta",8.9,"Apr",1980
"Temperature","Edmonton, Alberta",12,"May",1980
"Temperature","Edmonton, Alberta",15.2,"Jun",1980
"Temperature","Edmonton, Alberta",16.4,"Jul",1980
"Temperature","Edmonton, Alberta",13.2,"Aug",1980
"Temperature","Edmonton, Alberta",9.4,"Sep",1980
"Temperature","Edmonton, Alberta",6.8,"Oct",1980
"Temperature","Edmonton, Alberta",-0.6,"Nov",1980
"Temperature","Edmonton, Alberta",-15.9,"Dec",1980
"Temperature","Edmonton, Alberta",-6.2,"Jan",1981
"Temperature","Edmonton, Alberta",-7.4,"Feb",1981
"Temperature","Edmonton, Alberta",0.1,"Mar",1981
"Temperature","Edmonton, Alberta",4.8,"Apr",1981
"Temperature","Edmonton, Alberta",12,"May",1981
"Temperature","Edmonton, Alberta",13.2,"Jun",1981
"Temperature","Edmonton, Alberta",16.6,"Jul",1981
"Temperature","Edmonton, Alberta",18.8,"Aug",1981
"Temperature","Edmonton, Alberta",12.7,"Sep",1981
"Temperature","Edmonton, Alberta",4.6,"Oct",1981
"Temperature","Edmonton, Alberta",0,"Nov",1981
"Temperature","Edmonton, Alberta",-11.3,"Dec",1981
"Temperature","Edmonton, Alberta",-24.1,"Jan",1982
"Temperature","Edmonton, Alberta",-15.5,"Feb",1982
"Temperature","Edmonton, Alberta",-8.2,"Mar",1982
"Temperature","Edmonton, Alberta",0.3,"Apr",1982
"Temperature","Edmonton, Alberta",10.6,"May",1982
"Temperature","Edmonton, Alberta",16,"Jun",1982
"Temperature","Edmonton, Alberta",16.9,"Jul",1982
"Temperature","Edmonton, Alberta",13.5,"Aug",1982
"Temperature","Edmonton, Alberta",11.3,"Sep",1982
"Temperature","Edmonton, Alberta",5.6,"Oct",1982
"Temperature","Edmonton, Alberta",-8.8,"Nov",1982
"Temperature","Edmonton, Alberta",-9.8,"Dec",1982
"Temperature","Edmonton, Alberta",-11,"Jan",1983
"Temperature","Edmonton, Alberta",-8.7,"Feb",1983
"Temperature","Edmonton, Alberta",-4.3,"Mar",1983
"Temperature","Edmonton, Alberta",5.4,"Apr",1983
"Temperature","Edmonton, Alberta",10.4,"May",1983
"Temperature","Edmonton, Alberta",14.4,"Jun",1983
"Temperature","Edmonton, Alberta",17.3,"Jul",1983
"Temperature","Edmonton, Alberta",17.6,"Aug",1983
"Temperature","Edmonton, Alberta",8.9,"Sep",1983
"Temperature","Edmonton, Alberta",5.3,"Oct",1983
"Temperature","Edmonton, Alberta",-4,"Nov",1983
"Temperature","Edmonton, Alberta",-19.8,"Dec",1983
"Temperature","Edmonton, Alberta",-8.1,"Jan",1984
"Temperature","Edmonton, Alberta",-2.9,"Feb",1984
"Temperature","Edmonton, Alberta",-3,"Mar",1984
"Temperature","Edmonton, Alberta",6.5,"Apr",1984
"Temperature","Edmonton, Alberta",9.3,"May",1984
"Temperature","Edmonton, Alberta",14.7,"Jun",1984
"Temperature","Edmonton, Alberta",17.6,"Jul",1984
"Temperature","Edmonton, Alberta",17.6,"Aug",1984
"Temperature","Edmonton, Alberta",8,"Sep",1984
"Temperature","Edmonton, Alberta",2.2,"Oct",1984
"Temperature","Edmonton, Alberta",-9.7,"Nov",1984
"Temperature","Edmonton, Alberta",-17.2,"Dec",1984
"Temperature","Edmonton, Alberta",-10.3,"Jan",1985
"Temperature","Edmonton, Alberta",-13.3,"Feb",1985
"Temperature","Edmonton, Alberta",-2.2,"Mar",1985
"Temperature","Edmonton, Alberta",4.9,"Apr",1985
"Temperature","Edmonton, Alberta",12.3,"May",1985
"Temperature","Edmonton, Alberta",13.2,"Jun",1985
"Temperature","Edmonton, Alberta",17.6,"Jul",1985
"Temperature","Edmonton, Alberta",14.3,"Aug",1985
"Temperature","Edmonton, Alberta",7.3,"Sep",1985
"Temperature","Edmonton, Alberta",3.6,"Oct",1985
"Temperature","Edmonton, Alberta",-14.1,"Nov",1985
"Temperature","Edmonton, Alberta",-6.2,"Dec",1985
"Temperature","Edmonton, Alberta",-7.5,"Jan",1986
"Temperature","Edmonton, Alberta",-13.5,"Feb",1986
"Temperature","Edmonton, Alberta",-0.5,"Mar",1986
"Temperature","Edmonton, Alberta",3.9,"Apr",1986
"Temperature","Edmonton, Alberta",11.8,"May",1986
"Temperature","Edmonton, Alberta",15,"Jun",1986
"Temperature","Edmonton, Alberta",15.6,"Jul",1986
"Temperature","Edmonton, Alberta",16.1,"Aug",1986
"Temperature","Edmonton, Alberta",8.3,"Sep",1986
"Temperature","Edmonton, Alberta",6.9,"Oct",1986
"Temperature","Edmonton, Alberta",-8.9,"Nov",1986
"Temperature","Edmonton, Alberta",-6.4,"Dec",1986
"Temperature","Edmonton, Alberta",-6.7,"Jan",1987
"Temperature","Edmonton, Alberta",-4.9,"Feb",1987
"Temperature","Edmonton, Alberta",-5.4,"Mar",1987
"Temperature","Edmonton, Alberta",7.2,"Apr",1987
"Temperature","Edmonton, Alberta",11.4,"May",1987
"Temperature","Edmonton, Alberta",15.9,"Jun",1987
"Temperature","Edmonton, Alberta",16.5,"Jul",1987
"Temperature","Edmonton, Alberta",13,"Aug",1987
"Temperature","Edmonton, Alberta",12.9,"Sep",1987
"Temperature","Edmonton, Alberta",6.1,"Oct",1987
"Temperature","Edmonton, Alberta",-0.9,"Nov",1987
"Temperature","Edmonton, Alberta",-5.7,"Dec",1987
"Temperature","Edmonton, Alberta",-12.9,"Jan",1988
"Temperature","Edmonton, Alberta",-9.1,"Feb",1988
"Temperature","Edmonton, Alberta",0,"Mar",1988
"Temperature","Edmonton, Alberta",6.5,"Apr",1988
"Temperature","Edmonton, Alberta",12.7,"May",1988
"Temperature","Edmonton, Alberta",16.2,"Jun",1988
"Temperature","Edmonton, Alberta",16.3,"Jul",1988
"Temperature","Edmonton, Alberta",15.5,"Aug",1988
"Temperature","Edmonton, Alberta",10.6,"Sep",1988
"Temperature","Edmonton, Alberta",6.2,"Oct",1988
"Temperature","Edmonton, Alberta",-4.9,"Nov",1988
"Temperature","Edmonton, Alberta",-7.8,"Dec",1988
"Temperature","Edmonton, Alberta",-10.6,"Jan",1989
"Temperature","Edmonton, Alberta",-15.5,"Feb",1989
"Temperature","Edmonton, Alberta",-10.3,"Mar",1989
"Temperature","Edmonton, Alberta",4.8,"Apr",1989
"Temperature","Edmonton, Alberta",9.9,"May",1989
"Temperature","Edmonton, Alberta",14.9,"Jun",1989
"Temperature","Edmonton, Alberta",17.7,"Jul",1989
"Temperature","Edmonton, Alberta",15.8,"Aug",1989
"Temperature","Edmonton, Alberta",11.1,"Sep",1989
"Temperature","Edmonton, Alberta",4.5,"Oct",1989
"Temperature","Edmonton, Alberta",-3.8,"Nov",1989
